act,count
"(1) (v),3(2)(5a) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(z),3(1)(za),3(2)(v-a) IPC 1860",1
"(i),354A(1)(ii),504,506 Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(n),342,363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(2),506,509,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(a) CHILD LABOUR (PROHIBITION & REGULATION) ACT,1986",1
"(w),3(2)(v-a) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(za)(C) PROTECTION OF CIVIL RIGHTS ACT,1955",1
"(n),344,363,376(3) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(v-a),3(1)(w)(i) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(s),3(1)(r),3(2)(va) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(r),3(1) (s),3(2)(vii) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(I),201 INFORMATION TECHNOLOGY ACT 2000",1
"(I),376(2)(f),315,323,109,504,506,34 DOWRY PROHIBITION ACT, 1961",1
(5) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,1
(B) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,1
"(n),363,343,354(A) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),344,363 The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(2),504 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(5a),3(1) (s),3(1) (r) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(2),354(B),504,506,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"A (2),199 A (1),181,5(1),3(1) IPC 1860",1
"(va) BONDED LABOUR SYSTEM (ABOLITION) ACT, 1976",1
(iii) IPC 1860,1
"B,363,342,323,366 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),354(D),201 Prohibition of Child Marriage Act 2006",1
"(t),3(1)(v) IPC 1860",1
"(n),420,417 THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",1
"(n),376AB,366,343,363 THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",1
"(za)(D),3(1)(r),3(1)(s) IPC 1860",1
"(s),0,3(1)(a),3(1)(v) IPC 1860",1
"(h),363 The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(x),3(1)(s),3(1)(r) IPC 1860",1
"(10),21(3),21(1),21(2) IPC 1860",1
"(n),376(3),506,34,504,342,114 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(9),3(1)(10) IPC 1860",1
(zb) IPC 1860,1
"(r),3(1)(s),3(1)(zb) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(i) INDIAN MOTOR VEHICLES ACT, 1988",1
(s) KARNATAKA PANCHAYAT ACT - 1993,1
"B,366,450 The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(w)(i)(ii),3(1)(r) IPC 1860",1
"(h),3(1)(r)(s)(2)(va),3(1)(w)(i)(ii) BONDED LABOUR SYSTEM (ABOLITION) ACT, 1976",1
"(s),3(1)(r) BONDED LABOUR SYSTEM (ABOLITION) ACT, 1976",1
"(f),3(1)(r),3(1)(s),3(1)(w)(i)(ii) IPC 1860",1
"(n),354(B),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(a) EXPLOSIVE SUBSTANCES ACT, 1908",1
"(r),3(1)(s),3(1)(w),3(1)(za)(C) IPC 1860",1
"(a),3(2)(d) IPC 1860",1
"(n),354(D),450 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),366,376,363,344,354(D) THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",1
"(11),3(1)(12),3(1)(10) IPC 1860",1
"(10),3(1)(12) IPC 1860",1
"(A),21(5),21(4) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994",1
"(r) THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",1
"(J),376(2)(n),493,496,498 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(w)(i) INDIAN MOTOR VEHICLES ACT, 1988",1
"(iv),354(D) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(r),3(1) (W) (I),3(1) (s) IPC 1860",1
"(o),376(F),376(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(A),3(1) IPC 1860",1
"(va),3(1)(s),3(1)(e),3(1)(d),3(1)(r),3 (2)(v) IPC 1860",1
"(10),21,21(1),21(2),21(3),21(4) INDIAN MOTOR VEHICLES ACT, 1988",1
"(C),6,7 ESSENTIAL COMMODITIES ACT, 1955",1
(i) The SC & ST (Prevention of Atrocities) Amendment Act 2015,1
(l) IPC 1860,1
"(i)(n),354(D) THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",1
"(r),3(1)(s),3(2)(va),3(1)(w) IPC 1860",1
"(s),3(1)(r),3(1)(w) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(r),3(1)(s) INDIAN MOTOR VEHICLES ACT, 1988",1
"(w)(i)(ii) Juvenile Justice (Care and Protection of Children) Act, 2015",1
"(w)(i)(ii),3(1)(s) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),313,506,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),354(D),342,149,504 THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",1
"(n),376(3),450,114,354(D) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(x),3(XI),3(XII) IPC 1860",1
"(A),21 INDIAN MOTOR VEHICLES ACT, 1988",1
"(f),3(1)(r),3(1)(s),3(1)(w) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(r),3(1)(s),3(1)(f),3(1)(w) INDIAN MOTOR VEHICLES ACT, 1988",1
"(n),354(D),344,366,114 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"A,25 1A,3 IPC 1860",1
"(s),3(1)(r) INDIAN MOTOR VEHICLES ACT, 1988",1
"(n),366,363,343 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),366,354(D) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"B,354C PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(1A),21(4A),21(5) IPC 1860",1
"(A),11(1) (E),11(1) (D) INDIAN MOTOR VEHICLES ACT, 1988",1
"(1A),21(1)(A),21(1),21(2),21(3),21(4),21(4A),21(5) IPC 1860",1
"(1),448,376,420 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),354(D),114 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(1),376(2)(n) THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",1
"(g),3(1) (r) (s),3(1)(w)(i) IPC 1860",1
"(s),3(1)(g) IPC 1860",1
"(f),3(1)(g),3(1)(u),3(1)(z) IPC 1860",1
"(r),3(1) (s) INDIAN MOTOR VEHICLES ACT, 1988",1
"B,376(2)(f),342,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),506,504,149,323,143 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(r),3(1)(s),3(1)(w)(i)(ii) INFORMATION TECHNOLOGY ACT 2000",1
"(w)(i)(ii),3 (2)(v),3(2)(va) IPC 1860",1
"(z),11 IPC 1860",1
"(s),3(1)(w) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(r),3(1)(s),3(1)(w) BONDED LABOUR SYSTEM (ABOLITION) ACT, 1976",1
"(1A),22 KARNATAKA MINOR MINERAL CONSISTENT RULE 1994",1
"(zb),0 IPC 1860",1
"(I),354(D) THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",1
"(n),417,420,323,504,506 The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
(B) The SC & ST (Prevention of Atrocities) Amendment Act 2015,1
"(g),3(1)(r),3(1)(s),3(1)(w) IPC 1860",1
"B,376A,201,302 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
(III) IPC 1860,1
"(c),3(2)(d),7 Kerosene (Restriction on use and Fixation of selling price) Act, 1993",1
(b)(c)(d)(r)(zb) IPC 1860,1
"(12),4(w) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
(a)(b)(c) IPC 1860,1
"(n) Juvenile Justice (Care and Protection of Children) Act, 2015",1
"(r)(s) BONDED LABOUR SYSTEM (ABOLITION) ACT, 1976",1
"(r),3(1)(s),3(1)(w)(i),3(1)(w)(i)(ii) IPC 1860",1
"(n),366 INDIAN MOTOR VEHICLES ACT, 1988",1
"(5),19(c)(4),7 IPC 1860",1
"(p),3(1)(q),3(1)(r),3(1)(s),3(1)(u),3(1)(v),3(2) IPC 1860",1
"(i),8,4 IPC 1860",1
"(r),3(1)(s),3(1)(q),3(1)(u) IPC 1860",1
"(n),354(D),366,376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),354(D),354(A),420,376(2)(I),34,376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"B,366,354(D) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(r),3(1)(s),3(1)(w) INFORMATION TECHNOLOGY ACT 2000",1
"(n),376(3),506,305,363,366 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(11),3(1)(w) IPC 1860",1
"(s),3(1)(f) IPC 1860",1
"-ii,304A INDIAN MOTOR VEHICLES ACT, 1988",1
"(r),3(1)(s) MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957",1
"(1A),21(4A),21(5),21(3),21(1),21(2),4(1A) IPC 1860",1
"(1A),21(3),21(1),21(2),21(5),21(4A) IPC 1860",1
"(1A),21(4A),21(5),4(1A),21(3),21(1),21(4),21(2) IPC 1860",1
"(1A),21(4),4(1A),21(3) IPC 1860",1
"(1A),21(4A),21(5),4(1A) IPC 1860",1
"(1A),21(4),21(4A),21(5) IPC 1860",1
"(1A),21(1),21(2),21(3),21(5),21(4A),21(4),4(1A) IPC 1860",1
"(1A),21(3),21(1),21(2),21(5),21(4A),21(4) IPC 1860",1
"(12),3(1)(3) IPC 1860",1
"(1A),21(4),21(5) IPC 1860",1
"(1A),21(4),21,4(1A) IPC 1860",1
"(1A),21(4A),21(4),21(5),21(3),21(1),21(2) IPC 1860",1
"(1A),21(5),21(4) IPC 1860",1
"(y),3(1)(s),3(1)(r),3(1)(za)(D),3(1)(b),3(1)(e),3(1)(f),3(1)(g),3(1)(i),3(1)(l),3(1)(q),3(1)(u),3(1)(z),3(1)(za),3(1)(zc) IPC 1860",1
"(A),21(1)(A),21(2),21(3),21(4),21(4A),21(5) INDIAN MOTOR VEHICLES ACT, 1988",1
"(i),3(1)(c),3(1)(f),3(1)(b),3(i)(iii),3(i)(ii),3(IV) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(1),20B1 NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",1
"(w),3(1)(f),3(1)(r) IPC 1860",1
"(r),3(1)(s),3(1)(za)(A),3(1)(za)(C),3(1)(za)(D),3(1)(za)(E) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(s),3 (1) (w) (ii) IPC 1860",1
"(1A),21(4) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994",1
"(1a),21(5),21(4) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994",1
"(ii)(A),20(b) (ii) (B) INDIAN MOTOR VEHICLES ACT, 1988",1
"(f),3(1)(r),3(1)(s) INDIAN MOTOR VEHICLES ACT, 1988",1
"(i),27 NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",1
"(b)(c) CODE OF CRIMINAL PROCEDURE, 1973",1
"(f),3(1)(r),3(1)(s),3(1)(w) EXPLOSIVES ACT, 1884",1
"(n),366,376,363 THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",1
"(r),3(1)(s),3(1)(l),3(1)(n),3(1)(o),3(1)(t),3(1)(v),3(1)(w),3(2)(va) IPC 1860",1
"(2)(v),3(2)(va) THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",1
"(A),5(1),146 IPC 1860",1
"(n),366,376,366(A),363,376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),363,114,366 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(2),201 INFORMATION TECHNOLOGY ACT 2000",1
"(a) THE ARMS (AMENDMENT) ACT, 2019",1
"(A),21,4(a) IPC 1860",1
"(r),3 (1) (u),3(2)(5a) IPC 1860",1
"(ii) (B) THE CENTRAL MOTOR VEHICLES RULES, 1989",1
"(A),5(1)(A),27(1) IPC 1860",1
"(u),3(1)(v),3(2)(v-a) IPC 1860",1
"(1),11(ii),11(iii),11(iv),11(4)(6),12,15 IPC 1860",1
"(ii) B,8(c) INDIAN ARMS ACT, 1959",1
"(ii) B,21(c),8(c) NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",1
"(n),354 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"-1(B) (b) THE DISASTER MANAGEMENT ACT, 2005",1
"a,3(1)(2),3(1)(5),3(1)(9),3(1)(13),3(1)(15),3(2)(vii),4 IPC 1860",1
"(I),363,417 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(7),3(1)(w) IPC 1860",1
"(n),354(D) INFORMATION TECHNOLOGY ACT 2000",1
"(i),4,5 IPC 1860",1
"(B),4 INDIAN ARMS ACT, 1959",1
"(ii) A,8(c) ARMS ACT, 1959",1
"(b),3(1)(c),3(1)(g),3(1)(q),3(1)(r),3(1)(s),3(1)(u),3(1)(y),3(1)(z) IPC 1860",1
"(ii) A,21 NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",1
"(B),12(c) NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",1
"(B),505(1)(C),505(2) INFORMATION TECHNOLOGY ACT 2000",1
"(2),34 Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(e),5,9 KARNATAKA PROHIBITION OF VIOLENCE AGAINST MEDICARE SERVICE PERSONNEL AND DAMAGE TO PROPERTY IN MEDICARE SERVICE INSTITUTIONS ACT , 2009",1
"(a),5,9 IPC 1860",1
"(A),184 IPC 1860",1
"(A),194D,119,177 IPC 1860",1
"(E),190(2) THE CENTRAL MOTOR VEHICLES RULES, 1989",1
"(E),181,190(2),192(A),5(1),56,66,3(1) THE CENTRAL MOTOR VEHICLES RULES, 1989",1
"(13) INDIAN MOTOR VEHICLES ACT, 1988",1
"(A),5 (2) (a),27 IPC 1860",1
"(B),20 IPC 1860",1
"(u) PROTECTION OF CIVIL RIGHTS ACT,1955",1
"(ii)(A),27(b) IPC 1860",1
"(ii)(A) CODE OF CRIMINAL PROCEDURE, 1973",1
"(1A),4(1A),4 IPC 1860",1
"(A),11(1) (D),11(1) (E),20 IPC 1860",1
"(A),20 IPC 1860",1
"(A),11(A),11(1) (D),11(E) IPC 1860",1
"(W) (I),3(2)(vii) IPC 1860",1
"(a),20 IPC 1860",1
"(iv),504,505(1)(B),505(2),509 INFORMATION TECHNOLOGY ACT 2008",1
"(B),149 KARNATAKA PROHIBITION OF VIOLENCE AGAINST MEDICARE SERVICE PERSONNEL AND DAMAGE TO PROPERTY IN MEDICARE SERVICE INSTITUTIONS ACT , 2009",1
"(a),5(1)(4) IPC 1860",1
"(a),5(1),4 IPC 1860",1
"(2),509 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(w)(i)(ii),3(2)(v-a) INFORMATION TECHNOLOGY ACT 2008",1
"(1) (p) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(g),3(2)(v-a),3(1)(r) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(f),3(1) (r) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(D) INDIAN ARMS ACT, 1959",1
"(g),3(1)(r) IPC 1860",1
"(b) THE WILD LIFE (PROTECTION) ACT, 1972",1
"(f),3(1) (r),3(1) (s) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(r)(s),3(1) (f) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
(xii) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,1
"(r),3(2)(v-a) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(2) (a),27,5(1)(A),3,25(1)(A) IPC 1860",1
"(2) (a),27,5(1)(A),3 Karnataka Control of Organised Crime Act -2000",1
"(B),66(E) IPC 1860",1
(ii) IPC 1860,1
"(w),3(i)(ii),3(2)(v-a),3(2)(V),3(1)(w)(i)(ii) IPC 1860",1
"(ii)(A),27(b) INDIAN MOTOR VEHICLES ACT, 1988",1
"(E),180 IPC 1860",1
"(A),187 IPC 1860",1
"(E),184 IPC 1860",1
"(r) (i),177 IPC 1860",1
"(1),420 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
-B(h) IPC 1860,1
"(X),3(1)(14) IPC 1860",1
"(A),4(1) IPC 1860",1
"(10)(11),3(1)(15) IPC 1860",1
"(10),3(1)(15) IPC 1860",1
"(A),25(1B) IPC 1860",1
"A,363,366,417,376(2) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(r),3(2)(va) KARNATAKA EDUCATION ACT 1983 AS AMENDED UPTODATE",1
"(ii) C,31 IPC 1860",1
"(1B) (a),25 [1A] NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",1
"(5),3(1) (W) (I) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(w),3(i)(ii),3(2)(V) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),506,34 Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(r)(s),3(1) (W) (I),3(2)(5a) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
(g) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,1
"(n),366,34,114,343,506 Prohibition of Child Marriage Act 2006",1
"B,354(A) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(II) Juvenile Justice (Care and Protection of Children) Act, 2015",1
"(b),7(1)(c) ESSENTIAL COMMODITIES ACT, 1955",1
"(w)(i),3(2)(V),3(1)(w)(i)(ii) IPC 1860",1
"(i),3(2) IPC 1860",1
"(s),3(2)(vii) IPC 1860",1
"(n),5(l),5(m) IPC 1860",1
"(I),344,504,506,109,376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"A,25(1-B)(a) IPC 1860",1
"(r),3(1) (s),3 (1) (v),3(2)(5a) IPC 1860",1
"(va),3(1)(b) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(h) THE EPIDEMIC DISEASES (AMENDMENT) ORDINANCE, 2020",1
"(n),417,504,506 SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
(B) (1) INFORMATION TECHNOLOGY ACT 2008,1
"(i)(n),376(2)(n) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(I)A,20(C),27 NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",1
(b) KARNATAKA FOREST RULES,1
"(a)(i) Kerosene (Restriction on use and Fixation of selling price) Act, 1993",1
"(w),5,3(2) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"& B NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",1
"(ii) A PRISONS ACT, 1894",1
"(n),376(2)(J),376(3),363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(r) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2014",1
"(x),3(1)(14) IPC 1860",1
"(1) PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",1
"(c),3(1) (s) IPC 1860",1
"(r),3(2)(vii) IPC 1860",1
"(r),3(1)(s) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2014",1
"(h),4(2)(e) IPC 1860",1
"(e),5(4) IPC 1860",1
"(e),5(4) THE DISASTER MANAGEMENT ACT, 2005",1
"(d),102 KARNATAKA FOREST ACT 1963",1
"(va),3(2)(va) IPC 1860",1
"(n),354(D) INFORMATION TECHNOLOGY ACT 2008",1
"(n),9(m),10,3,4,5(l),5(m),5(n),6 IPC 1860",1
"(r),3(2)(V),3(1)(w),3(1) (s) INFORMATION TECHNOLOGY ACT 2008",1
"(L),342,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(1) (v),3(1)(r)(s) IPC 1860",1
"(f),323,504,506,34,114 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(II),5(L),6,4(2) IPC 1860",1
"(A),177,5(1),3(1) IPC 1860",1
"(s),3(1) (r),3(2)(5a) IPC 1860",1
(e) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,1
"(I),342,363 CHILD MARRIAGE RESTRAINT ACT",1
"(I),342,363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(I),376(2)(f),384 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"THE DRUGS (PRICES CONTROL) ORDER, 2013",1
"(II),15,14 INFORMATION TECHNOLOGY ACT 2000",1
"(s),3(1) (r) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(xii),3(2)(V) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(1A),21(4) CODE OF CRIMINAL PROCEDURE, 1973",1
"(I),354(B) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(r),3(2)(5) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(5a),3(1) (W) (I),3(1) (s) IPC 1860",1
"(5a),3(1)(r)(s),3(1) (W) (I) IPC 1860",1
"(n),34,363 Prohibition of Child Marriage Act 2006",1
"(II),5(L),5(Q),17,6 IPC 1860",1
"(w),3(I),3(2)(V) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(5),3(2)(V) IPC 1860",1
"(2)(iv),177 IPC 1860",1
"(f),3(1)(r),3(1)(s) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(i)(n),363,376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(r),3(1)(s),3(2) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(II),5(L),5(n) CHILD MARRIAGE RESTRAINT ACT",1
"(v-a) THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",1
"(J),354(B) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),34,366,114 CHILD MARRIAGE RESTRAINT ACT",1
"(w)(i)(ii),3(2)(v-a) INFORMATION TECHNOLOGY ACT 2000",1
"(r) (s),3(2)(va),3(1)(za) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
(zc) IPC 1860,1
"(1),12 INFORMATION TECHNOLOGY ACT 2008",1
"(r),3(1)(w),3(1)(l) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(r),3(1)(w),3(1)(i) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(10),3(2)(V),3(1)(s),3(1)(r) IPC 1860",1
"(r),3(1)(s),3(2)(V),3(1)(10) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(1),5(L) IPC 1860",1
"(6),3(1)(s),3(2)(v-a) IPC 1860",1
"(f),3(2)(v-a) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(va),3(2)(r)(s) IPC 1860",1
"(II),6,5(L) CHILD MARRIAGE RESTRAINT ACT",1
"(r),3(1)(b),3(2)(v-a) IPC 1860",1
"(n),504,324,363 INFORMATION TECHNOLOGY ACT 2000",1
"(1),25 NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",1
"(r) (s),3 (1) (w) (ii) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(v-a),3(1)(T) IPC 1860",1
"(i),3(1)(w),3(2)(V) IPC 1860",1
"(w),3(2)(V) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(ii)(A),8(a) NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",1
"(va),0 SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(w),3(1)(i) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(v-a),3(1)(r)(s) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(r)(s),3(1)(w)(i)(ii),3(2)(v-a) IPC 1860",1
"(r)(s),3(1) (s),3(1) (r) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(f),376(I),376(N) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),448,114 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(w),3(2)(va),3(1) (r) (s) IPC 1860",1
"(n),363,376,366(A) Prohibition of Child Marriage Act 2006",1
"(T),3(1)(r),3(1)(s) IPC 1860",1
"(I),314,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(W) (I),3(1)(r)(s) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"A,506,370,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(II),5(L) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(I),366(A) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
(vii) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,1
"(n),376(2)(J),363 CHILD MARRIAGE RESTRAINT ACT",1
(w)(i)(ii) INFORMATION TECHNOLOGY ACT 2008,1
"(1),12,8 IPC 1860",1
