src_type,src,dst_type,dst,weight
crime_head,COUNTERFEITING,district,Vijayanagara,6
crime_head,COPY RIGHT ACT 1957,district,Vijayanagara,6
crime_head,ASSAULT,district,Vijayapura,6
crime_head,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,district,Vijayapura,6
crime_head,OFFENCES RELATED TO MARRIAGE,district,Vijayapura,6
crime_head,ADULTERATION,district,Yadgir,6
crime_head,Concealment of birth by secret disposal of Child,district,Yadgir,6
crime_head,OFFENCES RELATED TO MARRIAGE,district,Yadgir,6
crime_head,OFFENCES PROMOTING ENEMITY,district,Bagalkote,5
crime_head,COUNTERFEITING,district,Belagavi City,5
crime_head,CRIMINAL CONSPIRACY,district,Belagavi,5
crime_head,DEATHS-MISCARRIAGE,district,Bengaluru Rural,5
crime_head,CRIMINAL CONSPIRACY,district,Bidar,5
crime_head,OFFENCES PROMOTING ENEMITY,district,Chamarajanagar,5
crime_head,Concealment of birth by secret disposal of Child,district,Chamarajanagar,5
crime_head,Failure to appear to Court,district,Chikkaballapura,5
crime_head,FOREST,district,Chitradurga,5
crime_head,INDIAN MOTOR VEHICLE,district,Chitradurga,5
crime_head,OFFENCES RELATED TO MARRIAGE,district,Dakshina Kannada,5
crime_head,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Dakshina Kannada,5
crime_head,COPY RIGHT ACT 1957,district,Dakshina Kannada,5
crime_head,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,district,Dakshina Kannada,5
crime_head,CRIMINAL CONSPIRACY,district,Dakshina Kannada,5
crime_head,FALSE EVIDENCE,district,Davanagere,5
crime_head,Failure to appear to Court,district,Davanagere,5
crime_head,ASSAULT,district,Davanagere,5
crime_head,ASSAULT,district,Dharwad,5
crime_head,COPY RIGHT ACT 1957,district,Gadag,5
crime_head,FALSE EVIDENCE,district,Gadag,5
crime_head,ADULTERATION,district,Gadag,5
crime_head,PUBLIC NUISANCE,district,Hassan,5
crime_head,OFFICIAL SECURITY RELATED ACTS,district,Hassan,5
crime_head,FOREST,district,Hassan,5
crime_head,OFFENCES RELATED TO MARRIAGE,district,Haveri,5
crime_head,FALSE EVIDENCE,district,Haveri,5
crime_head,Concealment of birth by secret disposal of Child,district,Haveri,5
crime_head,PUBLIC NUISANCE,district,Haveri,5
crime_head,EXPLOSIVES,district,ISD Bengaluru,5
crime_head,INSULTING MODESTY OF WOMEN (EVE TEASING),district,K.G.F,5
crime_head,OFFENCES PROMOTING ENEMITY,district,Kalaburagi,5
crime_head,POISONING-PROFESSIONAL,district,Kalaburagi,5
crime_head,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,district,Kalaburagi,5
crime_head,PUBLIC NUISANCE,district,Kalaburagi,5
crime_head,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",district,Kalaburagi City,5
crime_head,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Kalaburagi City,5
crime_head,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Kalaburagi City,5
crime_head,IMPERSONATION,district,Karnataka Railways,5
crime_head,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,district,Karnataka Railways,5
crime_head,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,district,Kodagu,5
crime_head,CONSUMER,district,Kodagu,5
crime_head,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,district,Kodagu,5
crime_head,EXPLOSIVES,district,Kodagu,5
crime_head,ADULTERATION,district,Koppal,5
crime_head,DEATHS-MISCARRIAGE,district,Mandya,5
crime_head,INDIAN MOTOR VEHICLE,district,Mandya,5
crime_head,OFFICIAL SECURITY RELATED ACTS,district,Mandya,5
crime_head,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,district,Mandya,5
crime_head,OFFENCES RELATED TO MARRIAGE,district,Mangaluru City,5
crime_head,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,district,Mangaluru City,5
crime_head,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",district,Mysuru City,5
crime_head,Human Trafficking,district,Mysuru City,5
crime_head,IMPERSONATION,district,Mysuru,5
crime_head,COPY RIGHT ACT 1957,district,Mysuru,5
crime_head,CIVIL RIGHTS,district,Raichur,5
crime_head,ARMS ACT 1959,district,Raichur,5
crime_head,ANIMAL,district,Raichur,5
crime_head,PASSPORT ACT,district,Shivamogga,5
crime_head,Human Trafficking,district,Shivamogga,5
crime_head,PUBLIC NUISANCE,district,Tumakuru,5
crime_head,COUNTERFEITING,district,Tumakuru,5
crime_head,Disobedience to Order Promulgated by PublicServan,district,Udupi,5
crime_head,Concealment of birth by secret disposal of Child,district,Udupi,5
crime_head,COUNTERFEITING,district,Udupi,5
crime_head,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",district,Udupi,5
crime_head,EXPOSURE AND ABANDONMENT OF CHILD,district,Uttara Kannada,5
crime_head,FOREIGNER,district,Uttara Kannada,5
crime_head,ANTIQUES (CULTURAL PROPERTY),district,Vijayapura,5
crime_head,EXPLOSIVES,district,Yadgir,5
crime_head,ANTIQUES (CULTURAL PROPERTY),district,Bagalkote,4
crime_head,COUNTERFEITING,district,Bagalkote,4
crime_head,PORNOGRAPHY,district,Bagalkote,4
crime_head,INSULTING MODESTY OF WOMEN (EVE TEASING),district,Ballari,4
crime_head,OFFENCES PROMOTING ENEMITY,district,Ballari,4
crime_head,FALSE EVIDENCE,district,Belagavi City,4
crime_head,BONDED LABOUR SYSTEM,district,Belagavi,4
crime_head,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,district,Bengaluru City,4
crime_head,SEDITION,district,Bengaluru City,4
crime_head,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,district,Bengaluru Rural,4
crime_head,FALSE EVIDENCE,district,Bengaluru Rural,4
crime_head,CRIMINAL MISAPPROPRIATION,district,Bengaluru Rural,4
crime_head,ASSAULT,district,Bengaluru Rural,4
crime_head,"POST & TELEGRAPH,TELEGRAPH WIRES(UNLAWFUL POSSESSION)ACT 1950",district,Bengaluru Rural,4
crime_head,INDIAN MOTOR VEHICLE,district,Bidar,4
crime_head,DEATHS-MISCARRIAGE,district,Bidar,4
crime_head,FALSE EVIDENCE,district,Chamarajanagar,4
crime_head,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,district,Chamarajanagar,4
crime_head,EXPOSURE AND ABANDONMENT OF CHILD,district,Chamarajanagar,4
crime_head,IMMORAL TRAFFIC,district,Chamarajanagar,4
crime_head,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,district,Chikkaballapura,4
crime_head,DEATHS-MISCARRIAGE,district,Chikkaballapura,4
crime_head,COUNTERFEITING,district,Chikkamagaluru,4
crime_head,PUBLIC NUISANCE,district,Chikkamagaluru,4
crime_head,OFFENCES RELATED TO MARRIAGE,district,Chikkamagaluru,4
crime_head,CRIMINAL CONSPIRACY,district,Chitradurga,4
crime_head,ANTIQUES (CULTURAL PROPERTY),district,Chitradurga,4
crime_head,CRIMINAL MISAPPROPRIATION,district,Chitradurga,4
crime_head,PASSPORT ACT,district,Dakshina Kannada,4
crime_head,INDIAN ELECTRICITY ACT,district,Dakshina Kannada,4
crime_head,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,district,Davanagere,4
crime_head,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Dharwad,4
crime_head,DEFAMATION,district,Gadag,4
crime_head,Concealment of birth by secret disposal of Child,district,Gadag,4
crime_head,PUBLIC NUISANCE,district,Gadag,4
crime_head,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,district,Gadag,4
crime_head,ARMS ACT 1959,district,Gadag,4
crime_head,ASSAULT,district,Hassan,4
crime_head,DEATHS-MISCARRIAGE,district,Hassan,4
crime_head,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,district,Hassan,4
crime_head,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,district,Haveri,4
crime_head,DEFAMATION,district,Hubballi-Dharwad City,4
crime_head,CRIMINAL CONSPIRACY,district,Hubballi-Dharwad City,4
crime_head,OFFENCES RELATED TO MARRIAGE,district,K.G.F,4
crime_head,CRIMINAL BREACH OF TRUST,district,K.G.F,4
crime_head,ARMS ACT 1959,district,K.G.F,4
crime_head,EXPOSURE AND ABANDONMENT OF CHILD,district,K.G.F,4
crime_head,OFFENCES PROMOTING ENEMITY,district,K.G.F,4
crime_head,ASSAULT,district,K.G.F,4
crime_head,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,district,K.G.F,4
crime_head,COPY RIGHT ACT 1957,district,Kalaburagi,4
crime_head,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Kalaburagi,4
crime_head,CRIMINAL MISAPPROPRIATION,district,Kalaburagi,4
crime_head,OFFENCES PROMOTING ENEMITY,district,Kalaburagi City,4
crime_head,ANTIQUES (CULTURAL PROPERTY),district,Kalaburagi City,4
crime_head,EXPLOSIVES,district,Karnataka Railways,4
crime_head,CRUELTY BY HUSBAND,district,Karnataka Railways,4
crime_head,COPY RIGHT ACT 1957,district,Kodagu,4
crime_head,DEATHS-MISCARRIAGE,district,Kodagu,4
crime_head,EXPOSURE AND ABANDONMENT OF CHILD,district,Kodagu,4
crime_head,OFFENCES RELATED TO MARRIAGE,district,Kodagu,4
crime_head,PORNOGRAPHY,district,Kodagu,4
crime_head,COPY RIGHT ACT 1957,district,Kolar,4
crime_head,CRIMINAL CONSPIRACY,district,Kolar,4
crime_head,BONDED LABOUR SYSTEM,district,Kolar,4
crime_head,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,district,Koppal,4
crime_head,OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),district,Koppal,4
crime_head,OF ABETMENT,district,Koppal,4
crime_head,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,district,Koppal,4
crime_head,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,district,Mandya,4
crime_head,PORNOGRAPHY,district,Mandya,4
crime_head,UNNATURAL SEX,district,Mangaluru City,4
crime_head,IMPERSONATION,district,Mangaluru City,4
crime_head,ASSAULT,district,Mangaluru City,4
crime_head,DEFAMATION,district,Mangaluru City,4
crime_head,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,district,Mysuru City,4
crime_head,PUBLIC NUISANCE,district,Mysuru City,4
crime_head,FALSE EVIDENCE,district,Mysuru City,4
crime_head,DEATHS-MISCARRIAGE,district,Mysuru,4
crime_head,INSULTING MODESTY OF WOMEN (EVE TEASING),district,Raichur,4
crime_head,OF ABETMENT,district,Raichur,4
crime_head,IMPERSONATION,district,Ramanagara,4
crime_head,FOREIGNER,district,Ramanagara,4
crime_head,FOREST,district,Shivamogga,4
crime_head,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,district,Tumakuru,4
crime_head,ADULTERATION,district,Tumakuru,4
crime_head,INDIAN ELECTRICITY ACT,district,Tumakuru,4
crime_head,DEATHS-MISCARRIAGE,district,Tumakuru,4
crime_head,FALSE EVIDENCE,district,Udupi,4
crime_head,Failure to appear to Court,district,Udupi,4
crime_head,IMPERSONATION,district,Udupi,4
crime_head,COPY RIGHT ACT 1957,district,Udupi,4
crime_head,FOREIGNER,district,Udupi,4
crime_head,COUNTERFEITING,district,Uttara Kannada,4
crime_head,OFFENCES PROMOTING ENEMITY,district,Vijayanagara,4
crime_head,SEDITION,district,Vijayanagara,4
crime_head,OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),district,Vijayanagara,4
crime_head,CRIMINAL CONSPIRACY,district,Vijayanagara,4
crime_head,INDIAN MOTOR VEHICLE,district,Vijayapura,4
crime_head,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,district,Yadgir,4
crime_head,CRIMINAL CONSPIRACY,district,Bagalkote,3
crime_head,FOREST,district,Bagalkote,3
crime_head,UNNATURAL SEX,district,Bagalkote,3
crime_head,ASSAULT,district,Bagalkote,3
crime_head,OF ABETMENT,district,Bagalkote,3
crime_head,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,district,Bagalkote,3
crime_head,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,district,Bagalkote,3
crime_head,ADULTERATION,district,Ballari,3
crime_head,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,district,Ballari,3
crime_head,PORNOGRAPHY,district,Ballari,3
crime_head,INDIAN MOTOR VEHICLE,district,Ballari,3
crime_head,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Belagavi City,3
crime_head,SLAVERY,district,Belagavi City,3
crime_head,EXPLOSIVES,district,Belagavi City,3
crime_head,CRIMINAL MISAPPROPRIATION,district,Belagavi City,3
crime_head,DEATHS-MISCARRIAGE,district,Belagavi City,3
crime_head,PORNOGRAPHY,district,Belagavi City,3
crime_head,OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),district,Belagavi,3
crime_head,POISONING-PROFESSIONAL,district,Belagavi,3
crime_head,CRIMINAL MISAPPROPRIATION,district,Belagavi,3
crime_head,Failure to appear to Court,district,Belagavi,3
crime_head,OF ABETMENT,district,Belagavi,3
crime_head,ANTIQUES (CULTURAL PROPERTY),district,Bengaluru City,3
crime_head,INDIAN MOTOR VEHICLE,district,Bengaluru City,3
crime_head,DOCUMENTS & PROPERTY MARKS,district,Bengaluru City,3
crime_head,DEFENCE FORCES OFFENCES RELATING TO (also relating to desertion),district,Bengaluru City,3
crime_head,PUBLIC JUSTICE,district,Bengaluru Rural,3
crime_head,DEFAMATION,district,Bengaluru Rural,3
crime_head,IMPERSONATION,district,Bidar,3
crime_head,COPY RIGHT ACT 1957,district,Bidar,3
crime_head,OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),district,Chamarajanagar,3
crime_head,ANTIQUES (CULTURAL PROPERTY),district,Chamarajanagar,3
crime_head,Human Trafficking,district,Chikkaballapura,3
crime_head,CRIMINAL CONSPIRACY,district,Chikkaballapura,3
crime_head,FALSE EVIDENCE,district,Chikkaballapura,3
crime_head,INDIAN MOTOR VEHICLE,district,Chikkaballapura,3
crime_head,ASSAULT,district,Chikkaballapura,3
crime_head,UNLAWFUL ACTIVITIES(Prevention)ACT 1967,district,Chikkamagaluru,3
crime_head,ARMS ACT 1959,district,Chitradurga,3
crime_head,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",district,Chitradurga,3
crime_head,FALSE EVIDENCE,district,Chitradurga,3
crime_head,DEFAMATION,district,Chitradurga,3
crime_head,MISSING PERSON,district,Coastal Security Police,3
crime_head,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Dakshina Kannada,3
crime_head,DOWRY DEATHS,district,Dakshina Kannada,3
crime_head,DEFAMATION,district,Dakshina Kannada,3
crime_head,POISONING-PROFESSIONAL,district,Davanagere,3
crime_head,OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),district,Davanagere,3
crime_head,OF ABETMENT,district,Davanagere,3
crime_head,PORNOGRAPHY,district,Davanagere,3
crime_head,INSULTING MODESTY OF WOMEN (EVE TEASING),district,Dharwad,3
crime_head,PUBLIC NUISANCE,district,Dharwad,3
crime_head,IMMORAL TRAFFIC,district,Dharwad,3
crime_head,INSULTING MODESTY OF WOMEN (EVE TEASING),district,Gadag,3
crime_head,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Gadag,3
crime_head,SEDITION,district,Gadag,3
crime_head,OFFENCES RELATED TO MARRIAGE,district,Gadag,3
crime_head,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,district,Gadag,3
crime_head,OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),district,Gadag,3
crime_head,COPY RIGHT ACT 1957,district,Hassan,3
crime_head,CRIMINAL CONSPIRACY,district,Hassan,3
crime_head,DEFAMATION,district,Hassan,3
crime_head,DEFAMATION,district,Haveri,3
crime_head,OFFENCES PROMOTING ENEMITY,district,Haveri,3
crime_head,PUBLIC NUISANCE,district,Hubballi-Dharwad City,3
crime_head,PORNOGRAPHY,district,Hubballi-Dharwad City,3
crime_head,COUNTERFEITING,district,Hubballi-Dharwad City,3
crime_head,DEATHS-MISCARRIAGE,district,Hubballi-Dharwad City,3
crime_head,SLAVERY,district,Hubballi-Dharwad City,3
crime_head,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,district,K.G.F,3
crime_head,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,K.G.F,3
crime_head,Failure to appear to Court,district,K.G.F,3
crime_head,COUNTERFEITING,district,Kalaburagi,3
crime_head,ADULTERATION,district,Kalaburagi City,3
crime_head,FALSE EVIDENCE,district,Karnataka Railways,3
crime_head,RIOTS,district,Karnataka Railways,3
crime_head,WRONGFUL RESTRAINT/CONFINEMENT,district,Karnataka Railways,3
crime_head,CRIMINAL CONSPIRACY,district,Karnataka Railways,3
crime_head,RAPE,district,Karnataka Railways,3
crime_head,REPRESENTATION OF PEOPLE ACT 1951 & 1988,district,Kodagu,3
crime_head,OF ABETMENT,district,Kodagu,3
crime_head,INDIAN ELECTRICITY ACT,district,Kolar,3
crime_head,ASSAULT,district,Kolar,3
crime_head,DEATHS-MISCARRIAGE,district,Kolar,3
crime_head,COUNTERFEITING,district,Kolar,3
crime_head,ADULTERATION,district,Kolar,3
crime_head,INDIAN MOTOR VEHICLE,district,Kolar,3
crime_head,IMPERSONATION,district,Koppal,3
crime_head,COPY RIGHT ACT 1957,district,Koppal,3
crime_head,COUNTERFEITING,district,Koppal,3
crime_head,DEFAMATION,district,Koppal,3
crime_head,CRIMINAL MISAPPROPRIATION,district,Koppal,3
crime_head,FALSE EVIDENCE,district,Koppal,3
crime_head,ARMS ACT 1959,district,Koppal,3
crime_head,ANTIQUES (CULTURAL PROPERTY),district,Koppal,3
crime_head,ANTIQUES (CULTURAL PROPERTY),district,Mandya,3
crime_head,DEFAMATION,district,Mandya,3
crime_head,INDIAN ELECTRICITY ACT,district,Mandya,3
crime_head,Failure to appear to Court,district,Mandya,3
crime_head,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",district,Mandya,3
crime_head,PORNOGRAPHY,district,Mangaluru City,3
crime_head,SLAVERY,district,Mangaluru City,3
crime_head,PORNOGRAPHY,district,Mysuru City,3
crime_head,SLAVERY,district,Mysuru City,3
crime_head,DOCUMENTS & PROPERTY MARKS,district,Mysuru City,3
crime_head,CRIMINAL MISAPPROPRIATION,district,Mysuru City,3
crime_head,ASSAULT,district,Mysuru City,3
crime_head,DEATHS-MISCARRIAGE,district,Mysuru City,3
crime_head,PUBLIC JUSTICE,district,Mysuru City,3
crime_head,POISONING-PROFESSIONAL,district,Mysuru City,3
crime_head,OFFICIAL SECURITY RELATED ACTS,district,Mysuru City,3
crime_head,CRIMINAL CONSPIRACY,district,Mysuru,3
crime_head,Human Trafficking,district,Mysuru,3
crime_head,OFFICIAL SECURITY RELATED ACTS,district,Mysuru,3
crime_head,POISONING-PROFESSIONAL,district,Mysuru,3
crime_head,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Mysuru,3
crime_head,INDIAN MOTOR VEHICLE,district,Mysuru,3
crime_head,FOREST,district,Raichur,3
crime_head,FALSE EVIDENCE,district,Raichur,3
crime_head,UNNATURAL SEX,district,Raichur,3
crime_head,COPY RIGHT ACT 1957,district,Raichur,3
crime_head,ASSAULT,district,Ramanagara,3
crime_head,INDIAN MOTOR VEHICLE,district,Ramanagara,3
crime_head,FOREST,district,Ramanagara,3
crime_head,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,district,Ramanagara,3
crime_head,Human Trafficking,district,Ramanagara,3
crime_head,OFFENCES PROMOTING ENEMITY,district,Ramanagara,3
crime_head,ASSAULT,district,Shivamogga,3
crime_head,ANTIQUES (CULTURAL PROPERTY),district,Shivamogga,3
crime_head,FOREST,district,Tumakuru,3
crime_head,INDIAN MOTOR VEHICLE,district,Tumakuru,3
crime_head,EXPOSURE AND ABANDONMENT OF CHILD,district,Udupi,3
crime_head,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Udupi,3
crime_head,INDIAN MOTOR VEHICLE,district,Udupi,3
crime_head,"POST & TELEGRAPH,TELEGRAPH WIRES(UNLAWFUL POSSESSION)ACT 1950",district,Udupi,3
crime_head,COPY RIGHT ACT 1957,district,Uttara Kannada,3
crime_head,ANTIQUES (CULTURAL PROPERTY),district,Uttara Kannada,3
crime_head,OF ABETMENT,district,Uttara Kannada,3
crime_head,INDIAN ELECTRICITY ACT,district,Uttara Kannada,3
crime_head,POISONING-PROFESSIONAL,district,Vijayanagara,3
crime_head,DEFAMATION,district,Vijayanagara,3
crime_head,Failure to appear to Court,district,Vijayanagara,3
crime_head,OF ABETMENT,district,Vijayanagara,3
crime_head,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Vijayanagara,3
crime_head,ASSAULT,district,Vijayanagara,3
crime_head,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Vijayanagara,3
crime_head,IMPERSONATION,district,Vijayanagara,3
crime_head,OF ABETMENT,district,Vijayapura,3
crime_head,FALSE EVIDENCE,district,Vijayapura,3
crime_head,DEFAMATION,district,Vijayapura,3
crime_head,POISONING-PROFESSIONAL,district,Vijayapura,3
crime_head,OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),district,Yadgir,3
crime_head,INSULTING MODESTY OF WOMEN (EVE TEASING),district,Yadgir,3
crime_head,DEFAMATION,district,Bagalkote,2
crime_head,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Bagalkote,2
crime_head,CRIMINAL MISAPPROPRIATION,district,Bagalkote,2
crime_head,SEDITION,district,Bagalkote,2
crime_head,IMPERSONATION,district,Bagalkote,2
crime_head,PUBLIC JUSTICE,district,Bagalkote,2
crime_head,DEATHS-MISCARRIAGE,district,Bagalkote,2
crime_head,FALSE EVIDENCE,district,Bagalkote,2
crime_head,BONDED LABOUR SYSTEM,district,Bagalkote,2
crime_head,COUNTERFEITING,district,Ballari,2
crime_head,OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),district,Ballari,2
crime_head,CRIMINAL MISAPPROPRIATION,district,Ballari,2
crime_head,CRIMINAL CONSPIRACY,district,Belagavi City,2
crime_head,Concealment of birth by secret disposal of Child,district,Belagavi City,2
crime_head,UNNATURAL SEX,district,Belagavi City,2
crime_head,INDIAN MOTOR VEHICLE,district,Belagavi,2
crime_head,PORNOGRAPHY,district,Belagavi,2
crime_head,PUBLIC NUISANCE,district,Belagavi,2
crime_head,CINEMATOGRAPH ACT 1952,district,Bengaluru City,2
crime_head,UNNATURAL SEX,district,Bengaluru Rural,2
crime_head,OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),district,Bengaluru Rural,2
crime_head,OFFENCES RELATED TO MARRIAGE,district,Bidar,2
crime_head,ADULTERATION,district,Bidar,2
crime_head,DEFAMATION,district,Bidar,2
crime_head,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Chamarajanagar,2
crime_head,DEATHS-MISCARRIAGE,district,Chamarajanagar,2
crime_head,DEFAMATION,district,Chamarajanagar,2
crime_head,COPY RIGHT ACT 1957,district,Chamarajanagar,2
crime_head,OFFENCES RELATED TO MARRIAGE,district,Chamarajanagar,2
crime_head,SLAVERY,district,Chikkaballapura,2
crime_head,OFFICIAL SECURITY RELATED ACTS,district,Chikkaballapura,2
crime_head,INSULTING MODESTY OF WOMEN (EVE TEASING),district,Chikkaballapura,2
crime_head,OF ABETMENT,district,Chikkamagaluru,2
crime_head,Failure to appear to Court,district,Chikkamagaluru,2
crime_head,FALSE EVIDENCE,district,Chikkamagaluru,2
crime_head,CRIMINAL MISAPPROPRIATION,district,Chikkamagaluru,2
crime_head,OFFICIAL SECURITY RELATED ACTS,district,Chikkamagaluru,2
crime_head,DEATHS-MISCARRIAGE,district,Chikkamagaluru,2
crime_head,PORNOGRAPHY,district,Chitradurga,2
crime_head,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",district,Dakshina Kannada,2
crime_head,CRIMINAL MISAPPROPRIATION,district,Dakshina Kannada,2
crime_head,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,district,Dakshina Kannada,2
crime_head,COUNTERFEITING,district,Dakshina Kannada,2
crime_head,FALSE EVIDENCE,district,Dakshina Kannada,2
crime_head,OFFENCES AGAINST STATE,district,Dakshina Kannada,2
crime_head,CRIMINAL MISAPPROPRIATION,district,Davanagere,2
crime_head,OFFICIAL SECURITY RELATED ACTS,district,Davanagere,2
crime_head,DEFAMATION,district,Davanagere,2
crime_head,DEFAMATION,district,Dharwad,2
crime_head,OFFENCES PROMOTING ENEMITY,district,Dharwad,2
crime_head,COPY RIGHT ACT 1957,district,Dharwad,2
crime_head,COUNTERFEITING,district,Dharwad,2
crime_head,OFFENCES RELATED TO MARRIAGE,district,Dharwad,2
crime_head,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,district,Dharwad,2
crime_head,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Dharwad,2
crime_head,UNNATURAL SEX,district,Gadag,2
crime_head,IMPERSONATION,district,Gadag,2
crime_head,Failure to appear to Court,district,Gadag,2
crime_head,CRIMINAL CONSPIRACY,district,Gadag,2
crime_head,SLAVERY,district,Hassan,2
crime_head,Human Trafficking,district,Hassan,2
crime_head,OF ABETMENT,district,Hassan,2
crime_head,ANTIQUES (CULTURAL PROPERTY),district,Hassan,2
crime_head,PORNOGRAPHY,district,Haveri,2
crime_head,SEDITION,district,Haveri,2
crime_head,ANTIQUES (CULTURAL PROPERTY),district,Haveri,2
crime_head,COUNTERFEITING,district,Haveri,2
crime_head,COPY RIGHT ACT 1957,district,Haveri,2
crime_head,UNNATURAL SEX,district,Hubballi-Dharwad City,2
crime_head,CRIMINAL MISAPPROPRIATION,district,Hubballi-Dharwad City,2
crime_head,FOREST,district,Hubballi-Dharwad City,2
crime_head,FALSE EVIDENCE,district,Hubballi-Dharwad City,2
crime_head,FOREIGNER,district,Hubballi-Dharwad City,2
crime_head,CRIMES RELATED TO WOMEN,district,Hubballi-Dharwad City,2
crime_head,CYBER CRIME,district,ISD Bengaluru,2
crime_head,DEATHS-MISCARRIAGE,district,K.G.F,2
crime_head,BONDED LABOUR SYSTEM,district,K.G.F,2
crime_head,IMMORAL TRAFFIC,district,K.G.F,2
crime_head,WRONGFUL RESTRAINT/CONFINEMENT,district,K.G.F,2
crime_head,Human Trafficking,district,K.G.F,2
crime_head,INDIAN MOTOR VEHICLE,district,Kalaburagi,2
crime_head,ADULTERATION,district,Kalaburagi,2
crime_head,DEATHS-MISCARRIAGE,district,Kalaburagi,2
crime_head,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,district,Kalaburagi,2
crime_head,PUBLIC JUSTICE,district,Kalaburagi,2
crime_head,INDIAN ELECTRICITY ACT,district,Kalaburagi,2
crime_head,ASSAULT,district,Kalaburagi,2
crime_head,OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),district,Kalaburagi City,2
crime_head,CRIMINAL CONSPIRACY,district,Kalaburagi City,2
crime_head,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,district,Kalaburagi City,2
