act,section,count
"(2)(v) DOWRY PROHIBITION ACT, 1961",3,1
"(c),3(2)(v-a) IPC 1860",326,1
"(s),3(2)(v-a),3(1)(C)(R) IPC 1860",506,1
"(s),3(2)(v-a),3(1)(C)(R) IPC 1860",34,1
"(s),3(2)(v-a),3(1)(C)(R) IPC 1860",504,1
"(s),3(2)(v-a),3(1)(C)(R) IPC 1860",323,1
"(s),3(2)(v-a),3(1)(C)(R) IPC 1860",326,1
(v) IPC 1860,295A,1
"(A),11(D) IPC 1860",34,1
"(r),3(1)(s),3(1)(c),3(1)(w)(i),3(2)(va) DOWRY PROHIBITION ACT, 1961",4,1
"(r),3(1)(c),3(1)(s) IPC 1860",506,1
"(r),3(1)(c),3(1)(s) IPC 1860",34,1
"(r),3(1)(c),3(1)(s) IPC 1860",504,1
"(r),3(1)(c),3(1)(s) IPC 1860",323,1
"(r),3(1)(c),3(1)(s) IPC 1860",324,1
"(r),3(1)(c),3(1)2(va),3(1)(w)(i) IPC 1860",506,1
"(r),3(1)(c),3(1)2(va),3(1)(w)(i) IPC 1860",504,1
"(r),3(1)(c),3(1)2(va),3(1)(w)(i) IPC 1860",323,1
"(r),3(1)(c),3(1)2(va),3(1)(w)(i) IPC 1860",149,1
"(f),3(2)(va),3(1)(s),3(1)(r) IPC 1860",504,1
"B,376(2)(n),344 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
(10)(11) IPC 1860,35,1
"(i),3(1)(w) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",3(1),1
(2) KARNATAKA MOTOR VEHICLE RULE,74(1),1
"(f),3(2)(va),3(1)(r),3(1)(s) IPC 1860",451,1
"(r),3(1)(s),3(2)(va) IPC 1860",363,1
"(A),11(D) IPC 1860",341,1
"(A),11(D) IPC 1860",323,1
"(A),11(D) IPC 1860",506,1
"(va),3(1)(r),3(1)(s) IPC 1860",325,1
(1) (2) Prevention of Cruelty to Animals (Slaughter House) Rules 2001,7,1
"JUVENILE JUSTICE ACT, 1986",44,1
"(i)(n),336(A) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"(va),3(1)(w)(i) IPC 1860",354(B),1
"(va),3(1)(w)(i) IPC 1860",306,1
"(va),3(1)(w)(i) IPC 1860",342,1
"(va),3(1)(w)(i) IPC 1860",363,1
"(va),3(1)(w)(i) IPC 1860",201,1
(w) IPC 1860,511,1
"(I),354(D) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"(I),354(D) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"(n),34,363,366(A),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"(r),3(2)(va),3(1)(s) IPC 1860",392,1
"(v-a),3(1)(c) IPC 1860",34,1
"(v-a),3(1)(c) IPC 1860",504,1
"(v-a),3(1)(c) IPC 1860",323,1
"(v-a),3(1)(c) IPC 1860",324,1
"(v-a),3(1)(c) IPC 1860",326,1
"(v-a),3(1)(s),3(1)(r) The SC & ST (Prevention of Atrocities) Amendment Act 2015",3(2),1
KARNATAKA PANCHAYAT ACT - 1993,22,1
"(A),44(2) MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957",4(A),1
"(A),44(2) MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957",21(1),1
"(1) (2),7,4 INDIAN MOTOR VEHICLES ACT, 1988",196,1
"(1) (2),7,4 INDIAN MOTOR VEHICLES ACT, 1988",181,1
"(5),3(1)(11) IPC 1860",366(A),1
"(r),3(2)(va),3(1)(s) IPC 1860",376,1
"(r),3(2)(va),3(1)(s) IPC 1860",366(A),1
"(w)(i)(ii),3(2)(va) IPC 1860",343,1
(w)(i) IPC 1860,355,1
(w)(i) IPC 1860,143,1
(w)(i) IPC 1860,144,1
(w)(i) IPC 1860,147,1
(w)(i) IPC 1860,149,1
(w)(i) IPC 1860,324,1
"(r),3(1)(s),3(2)(va),3(1)(w)(i) IPC 1860",143,1
"(r),3(1)(s),3(2)(va),3(1)(w)(i) IPC 1860",144,1
"(r),3(1)(s),3(2)(va),3(1)(w)(i) IPC 1860",147,1
"(r),3(1)(s),3(2)(va),3(1)(w)(i) IPC 1860",148,1
"(r),3(1)(s),3(2)(va),3(1)(w)(i) IPC 1860",149,1
"(r),3(1)(s),3(2)(va),3(1)(w)(i) IPC 1860",448,1
"(r),3(1)(s),3(2)(va),3(1)(w)(i) IPC 1860",326,1
(A) THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,4,1
(A) THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,12,1
"(va),3(1)(w)(i),3(1) (r) (s) IPC 1860",354(A),1
"(r) (s),3(1)(w)(i),3(2)(va) IPC 1860",341,1
"(va),3(1) (r) (s) IPC 1860",306,1
"(s),3(2)(va) IPC 1860",306,1
"PASSPORT (ENTRY INTO INDIA) ACT,1920",4,1
"(7),3(2)(1),3(2)(5),3(V),3(1)(s),3(1)(r) INFORMATION TECHNOLOGY ACT 2000",66(a),1
"(7),3(2)(1),3(2)(5),3(V),3(1)(s),3(1)(r) INFORMATION TECHNOLOGY ACT 2000",66(E),1
"(7),3(2)(1),3(2)(5),3(V),3(1)(s),3(1)(r) INFORMATION TECHNOLOGY ACT 2000",43A,1
"(7),3(2)(1),3(2)(5),3(V),3(1)(s),3(1)(r) INFORMATION TECHNOLOGY ACT 2000",72(A),1
"IRRIGATION ACT, 1963",338,1
"(r),3(1)(s),3(1)(w)(i) IPC 1860",341,1
"(r),3(i)(ii) KARNATAKA PREVENTION OF ANIMAL SACRIFICES ACT 1959",3,1
"(b)(c),4(1)(A) IPC 1860",285,1
"(A),11(2) INDIAN MOTOR VEHICLES ACT, 1988",177,1
"(A),11(2) INDIAN MOTOR VEHICLES ACT, 1988",192(A),1
"-ii KARNATAKA PRIVATE MEDICAL ESTABLISHMENT ACT, 2007",19,1
(1) (2) THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,5,1
(A) The Central Motor Vehicle Rules 2015,125(E),1
"(1),14(a) THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020",4,1
"(1),14(a) THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020",7,1
"(1),14(a) THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020",12(1),1
"(1),14(a) THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020",12(2),1
"(va),3(1)(w)(i),3(1) (r) (s) IPC 1860",354,1
(xi) The SC & ST (Prevention of Atrocities) Amendment Act 2015,3(2),1
"(i)(n),324,506,342,149 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"(i)(n),324,506,342,149 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
(w) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,3(2),1
KARNATAKA PANCHAYAT ACT - 1993,288,1
"(f),376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",17,1
"(w),3(XI) The SC & ST (Prevention of Atrocities) Amendment Act 2015",3(1),1
"(I),384,511 INFORMATION TECHNOLOGY ACT 2008",67(A),1
"(I),384,511 INFORMATION TECHNOLOGY ACT 2008",67,1
"(I),384,511 INFORMATION TECHNOLOGY ACT 2008",66(E),1
"(r),3(1)(s),3(2)(va) ARMS ACT, 1959",25,1
"(r),3(1)(s),3(2)(va) ARMS ACT, 1959",1A,1
"(va),3(1)(r) IPC 1860",509,1
"(d),102 IPC 1860",144,1
"(n),34,343,363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",17,1
"(i) (r ),3(1)(s) IPC 1860",506,1
"(i) (r ),3(1)(s) IPC 1860",504,1
"(i) (r ),3(1)(s) IPC 1860",149,1
"(i) (r ),3(1)(s) IPC 1860",323,1
"(W) (I),3(1)(r)(s) IPC 1860",427,1
"(W) (I),3(1)(r)(s) IPC 1860",324,1
l2(V) IPC 1860,427,1
l2(V) IPC 1860,341,1
l2(V) IPC 1860,143,1
l2(V) IPC 1860,147,1
l2(V) IPC 1860,148,1
l2(V) IPC 1860,149,1
l2(V) IPC 1860,302,1
l2(V) IPC 1860,120B,1
"(i) ARMS ACT, 1959",25,1
"(r),3(1)(s),3(2)(va) IPC 1860",337,1
"(r),3(1)(s),3(2)(va) IPC 1860",279,1
"(r),3(1)(s),3(1)(w)(i),3(2)(va) IPC 1860",376,1
(V) IPC 1860,396,1
"(r),3(2)(v-a),3(1)(w)(i) IPC 1860",143,1
"(r),3(2)(v-a),3(1)(w)(i) IPC 1860",147,1
"(r),3(2)(v-a),3(1)(w)(i) IPC 1860",149,1
"(r),3(2)(v-a),3(1)(w)(i) IPC 1860",448,1
"(r),3(2)(v-a),3(1)(w)(i) IPC 1860",323,1
"(r),3(2)(v-a),3(1)(w)(i) IPC 1860",327,1
"(r),3(2)(v-a),3(1)(w)(i) IPC 1860",354,1
(1) (2) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,4,1
(1) (2) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,5,1
(1) (2) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,11,1
"(b),3(1)(c),4(1)(a) ESSENTIAL COMMODITIES ACT, 1955",3,1
"(b),3(1)(c),4(1)(a) ESSENTIAL COMMODITIES ACT, 1955",7,1
"(1) (2),4 KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964",5,1
"(1) (2),4 KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964",4,1
"(1) (2),4 KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964",11,1
"(n),34,376(2)(f),114 THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",11,1
"A (1),180,181,177,177 IPC 1860",279,1
"A (1),180,181,177,177 IPC 1860",283,1
"INDIAN MOTOR VEHICLES ACT, 1988",202,1
"(E),128 IPC 1860",279,1
"(E),128 IPC 1860",337,1
"(E),128 IPC 1860",304(A),1
"(E),128 IPC 1860",338,1
"(A),3,146 IPC 1860",338,1
"(E),177 IPC 1860",279,1
"(j) JUVENILE JUSTICE ACT, 2000",75,1
"(II),6,5(L) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",3(1),1
"(W) (I),3(2)(5) IPC 1860",376(2),1
"(r),3(1)(s),3(2)(V),3(2)(v-a) IPC 1860",354C,1
"(w),3(1)(r),3(2)(v-a),3(1)(s) IPC 1860",448,1
"(w),3(1)(r),3(2)(v-a),3(1)(s) IPC 1860",504,1
"(t),3 (2)(v) IPC 1860",506,1
"(t),3 (2)(v) IPC 1860",34,1
"(t),3 (2)(v) IPC 1860",504,1
"(t),3 (2)(v) IPC 1860",448,1
"(t),3 (2)(v) IPC 1860",323,1
"(t),3 (2)(v) IPC 1860",324,1
"(t),3 (2)(v) IPC 1860",326,1
"(t),3 (2)(v) IPC 1860",354,1
"(1),506,504,420,307 INDIAN ARMS ACT, 1959",25,1
"(I)(r)(w),3(1) (s),3(2)(v-a),3(1)(w)(i) IPC 1860",201,1
"(va),3(1)(w)(i) INFORMATION TECHNOLOGY ACT 2008",66(E),1
"(va),3(1)(w)(i) INFORMATION TECHNOLOGY ACT 2008",67(A),1
"(i),354A(1)(ii),114,34 DOWRY PROHIBITION ACT, 1961",3,1
"(i),354A(1)(ii),114,34 DOWRY PROHIBITION ACT, 1961",4,1
"(2)(v),3(1)(s),3(1)(r) IPC 1860",504,1
"(ii),506,34 DOWRY PROHIBITION ACT, 1961",3,1
"(ii),506,34 DOWRY PROHIBITION ACT, 1961",4,1
"(r),3(1)(s),3 (2)(v),3(2)(va) IPC 1860",201,1
"(r),3(1)(s),3(1)(c),3(1)(e),3(1)(w) IPC 1860",506,1
"(r),3(1)(s),3(1)(c),3(1)(e),3(1)(w) IPC 1860",504,1
"(r),3(1)(s),3(1)(c),3(1)(e),3(1)(w) IPC 1860",143,1
"(r),3(1)(s),3(1)(c),3(1)(e),3(1)(w) IPC 1860",149,1
"(r),3(1)(s),3(1)(c),3(1)(e),3(1)(w) IPC 1860",323,1
"(r),3(1)(s),3(1)(c),3(1)(e),3(1)(w) IPC 1860",327,1
"(11) IMMORAL TRAFFIC PREVENTION ACT, 1956",3,1
"(11) IMMORAL TRAFFIC PREVENTION ACT, 1956",4,1
"(11) IMMORAL TRAFFIC PREVENTION ACT, 1956",5,1
"(11) IMMORAL TRAFFIC PREVENTION ACT, 1956",6,1
"(11),3(1)(w),3(2)(v-a),3(1)(s),3(1)(r) IPC 1860",420,1
"(11),3(1)(w),3(2)(v-a),3(1)(s),3(1)(r) IPC 1860",201,1
"(11),3(1)(w),3(2)(v-a),3(1)(s),3(1)(r) IPC 1860",406,1
"(r),3(1)(s),3(2)(v-a),3(1)(c) IPC 1860",149,1
"(r),3(1)(s),3(2)(v-a),3(1)(c) IPC 1860",341,1
"(r),3(1)(s),3(2)(v-a),3(1)(c) IPC 1860",355,1
"(r),3(2)(va),3(1)(c),3(1)(s) IPC 1860",506,1
"(r),3(2)(va),3(1)(c),3(1)(s) IPC 1860",341,1
"(r),3(2)(va),3(1)(c),3(1)(s) IPC 1860",504,1
"(r),3(2)(va),3(1)(c),3(1)(s) IPC 1860",323,1
"(c),3(1)(r),3(1)(s),3(2)(v-a) IPC 1860",332,1
"(c),3(1)(r),3(1)(s),3(2)(v-a) IPC 1860",324,1
"(r)(s)(2)(va) DOWRY PROHIBITION ACT, 1961",4,1
"(r)(s)(2)(va) DOWRY PROHIBITION ACT, 1961",3,1
"(va),3(1)(s),3(1)(c),3(1)(r) IPC 1860",324,1
"(va),3(1)(s),3(1)(c),3(1)(r) IPC 1860",504,1
"(va),3(1)(s),3(1)(c),3(1)(r) IPC 1860",326,1
"(r),3(1)(c),3(1)(s),3(2)(va) IPC 1860",326,1
"(f),3(2)(va) IPC 1860",149,1
"(f),3(2)(va) IPC 1860",417,1
"(f),3(2)(va) IPC 1860",419,1
"(f),3(2)(va) IPC 1860",201,1
"ESSENTIAL SERVICES MAINTENANCE ACT, 1981",8,1
/5 IPC 1860,341,1
/5 IPC 1860,149,1
/5 IPC 1860,271,1
/5 IPC 1860,323,1
/5 IPC 1860,332,1
/5 IPC 1860,269,1
"(r),3(1)(c),3(1)(s),3(2)(va),3(1)(w)(i) IPC 1860",506,1
"(r),3(1)(c),3(1)(s),3(2)(va),3(1)(w)(i) IPC 1860",34,1
"(r),3(1)(c),3(1)(s),3(2)(va),3(1)(w)(i) IPC 1860",324,1
"(r),3(1)(f),3(1)(s),3(2)(va),3(1)(r)(s)(2)(va) IPC 1860",506,1
"(r),3(1)(f),3(1)(s),3(2)(va),3(1)(r)(s)(2)(va) IPC 1860",34,1
"(r),3(1)(f),3(1)(s),3(2)(va),3(1)(r)(s)(2)(va) IPC 1860",504,1
"(r),3(1)(f),3(1)(s),3(2)(va),3(1)(r)(s)(2)(va) IPC 1860",149,1
"(r),3(1)(f),3(1)(s),3(2)(va),3(1)(r)(s)(2)(va) IPC 1860",201,1
"(r),3(1)(f),3(1)(s),3(2)(va),3(1)(r)(s)(2)(va) IPC 1860",419,1
"(r),3(1)(f),3(1)(s),3(2)(va),3(1)(r)(s)(2)(va) IPC 1860",420,1
"(r),3(1)(f),3(1)(s),3(2)(va),3(1)(r)(s)(2)(va) IPC 1860",468,1
"(r),3(1)(f),3(1)(s),3(2)(va),3(1)(r)(s)(2)(va) IPC 1860",471,1
"(w)(i),3(2)(va),3(1)(s),3(1)(c),3(1)(r) IPC 1860",354,1
"(w)(i),3(2)(va),3(1)(s),3(1)(c),3(1)(r) IPC 1860",324,1
"(va),3(1)(s),3(1)(c),3(1)(r) IPC 1860",353,1
"(va),3(1)(s),3(1)(c),3(1)(r) IPC 1860",323,1
"(r),3(1)(c),3(1)(s),3(2)(va) IPC 1860",34,1
"(II),6,21 The SC & ST (Prevention of Atrocities) Amendment Act 2015",3(1),1
"(i)(n),506,344,363 Prohibition of Child Marriage Act 2006",9,1
"(b) NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",27A,1
"(b) NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",8(b),1
"(b) NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",8(a),1
"(II),5(n),5(l) IPC 1860",506,1
"(II),5(n),5(l) IPC 1860",376,1
"(II),5(L),5(n),6,21(1) IPC 1860",376(2),1
"(I),376(2)(f),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",19,1
(2) (a) KARNATAKA FOREST ACT 1963,24,1
(J) IPC 1860,304,1
(D) IPC 1860,109,1
"(ii)(A),8C NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",27(B),1
"(r) (i),177,192 IPC 1860",279,1
"(r) (i),177,192 IPC 1860",338,1
"(d),102 KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964",8,1
"(d),102 KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964",9,1
"(d),102 KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964",11,1
"(r) (s),3(1)(w)(i)(ii),3 (2)(v),3(2)(va) IPC 1860",376(2),1
"(s),3(2)(V) IPC 1860",506,1
"(s),3(2)(V) IPC 1860",427,1
"(s),3(2)(V) IPC 1860",34,1
"(r),3(1)(u),3(1)(v) PREVENTION OF INSULT TO NATIONAL HONOURS ACT, 1971",2,1
"(n),201,177 Prohibition of Child Marriage Act 2006",9,1
"(n),366,363,376 2F PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",17,1
"(A),506,376(2)(J),376(2)(n),354A(1)(i) INFORMATION TECHNOLOGY ACT 2008",67,1
"(r),3(1)(s),3(2)3,3(2)(v-a) The SC & ST (Prevention of Atrocities) Amendment Act 2015",3(2),1
"(r),3(1)(s),3(2)(v-a) IPC 1860",505(1),1
"(f),376(2)(I),376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4(2),1
"(f),376(2)(I),376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(n),1
"(f),376(2)(I),376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
(V) IPC 1860,452,1
(V) IPC 1860,112,1
The Central Motor Vehicle Rules 2015,109,1
(r)(s)(2)(va) IPC 1860,344,1
"INDIAN MOTOR VEHICLES ACT, 1988",53,1
"(1)(b),190(2),5(1),146 The Central Motor Vehicle Rules 2015",152,1
"(1)(b),190(2),5(1),146 The Central Motor Vehicle Rules 2015",115,1
"THE CENTRAL MOTOR VEHICLES RULES, 1989",230,1
IPC 1860,90,1
"(n),204 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(L),1
"(10)(11),3(1)(5) IPC 1860",354,1
"(10)(11),3(1)(5) IPC 1860",448,1
"(W) (I),3(1) (s),3(1) (r) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(2),1
"(s),3(1)(r),3(2)(v-a) IPC 1860",341,1
"(s),3(1)(r),3(2)(v-a) IPC 1860",324,1
"(r),3(1)(za),3(1)(e),3(2)(v-a),3(2)(5) IPC 1860",506,1
(I) Prohibition of Child Marriage Act 2006,11,1
"(y),3(1)(zc),3(2)(v-a) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",3(1),1
"(n),366,344,212 Prohibition of Child Marriage Act 2006",11,1
"(ii) C,27(a) IPC 1860",482,1
(II) IPC 1860,377,1
"(q),3(2)(vii) IPC 1860",34,1
"(r),3(1)(s),3(1)(y),3(1)(za),3(1)(c) IPC 1860",341,1
"(B) NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",27(B),1
"(B) NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",22(b),1
"(ii)(A) NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",27(B),1
(s) IPC 1860,498A,1
"(w)(i),3 (2)(v) Prohibition of Child Marriage Act 2006",9,1
(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,5(j),1
"(r) (s),3(1)(z),3(2)(va) IPC 1860",427,1
"(r) (s),3(1)(z),3(2)(va) IPC 1860",34,1
"(r),3(1)(s),3(1)(w)(i)(ii),3(2)(v-a),3(2)(V),3(1)(w)(i) IPC 1860",201,1
"(w)(i)(ii),3(2)(V),3(2)(v-a) IPC 1860",504,1
"(w)(i)(ii),3(2)(V),3(2)(v-a) IPC 1860",323,1
"(w)(i)(ii),3(2)(V),3(2)(v-a) IPC 1860",420,1
"(w)(i)(ii),3(2)(V),3(2)(v-a) IPC 1860",406,1
"(w)(i)(ii),3(2)(V),3(2)(v-a) IPC 1860",344,1
"The Poisons Act, 1919",2,1
"(r),3(2)(v-a) Juvenile Justice (Care and Protection of Children) Act, 2015",74(1),1
"(2)(v),3(1)(s),3(1)(r) IPC 1860",323,1
"(I),376(2)(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(n),1
"(r),3(1)(s),3(1)(w)(i),3(2)(v-a) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",8,1
(5) IPC 1860,171F,1
(5) IPC 1860,171B,1
(5) IPC 1860,171C,1
"(f),376(2)(I),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(n),1
"(f),376(2)(I),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",7,1
"(f),376(2)(I),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",8,1
"(r),3(1)(s),3(2)(V),3(2)(v-a) IPC 1860",376(2),1
Central Electricity Authority Regulations 2010,60(2),1
"ANTIQUES AND ART TREASURES ACT, 1972",190(2),1
"(r),3(2)(va),3(1)(s) IPC 1860",498A,1
"(r),3(2)(va),3(1)(s) IPC 1860",304B,1
"(r),3(2)(va),3(1)(s) IPC 1860",306,1
"A,376(N) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"A,376(N) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"(f),3(1)(g),3(2)(v-a) IPC 1860",141,1
"(r),3(1)(p),3(1)(q) IPC 1860",353,1
"(r),3(1)(p),3(1)(q) IPC 1860",503,1
"(n),498A,504,506,313 DOWRY PROHIBITION ACT, 1961",3,1
"(n),498A,504,506,313 DOWRY PROHIBITION ACT, 1961",4,1
"(i)(n),376(3),323,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"(i)(n),376(3),323,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"(2)(v),3(1)(w)(i) IPC 1860",506,1
"(2)(v),3(1)(w)(i) IPC 1860",34,1
"(2)(v),3(1)(w)(i) IPC 1860",313,1
"(2)(v),3(1)(w)(i) IPC 1860",323,1
"(2)(v),3(1)(w)(i) IPC 1860",344,1
"(2)(v),3(1)(w)(i) IPC 1860",114,1
(D) Transportation of Animal Act 1978,47,1
"(v-a),3(1)(s) IPC 1860",304(A),1
(2) IPC 1860,171C,1
(2) IPC 1860,188,1
The Arms Rules 1962,3,1
(D) IPC 1860,269,1
"(II),3(b),5(L),5(n),6,4(2) IPC 1860",376(2),1
"(i)(n),506,376(2)(f) INFORMATION TECHNOLOGY ACT 2000",67(A),1
"(II),5(n),5(l),6 IPC 1860",376(2),1
"(i)(n),376(2)(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4(2),1
"(r),3(1)(s),3(XII) INFORMATION TECHNOLOGY ACT 2008",66(E),1
"(v-a),3(2)(V) IPC 1860",376(2),1
"(r),3(1)(s),3(2)(va) IPC 1860",304,1
-ii The SC & ST (Prevention of Atrocities) Amendment Act 2015,3,1
"(II),5(L),19,6 IPC 1860",109,1
"(II),5(L),19,6 IPC 1860",34,1
"(II),5(L),19,6 IPC 1860",376,1
"(II),5(L),19,6 IPC 1860",363,1
"(II),5(L),19,6 IPC 1860",201,1
"INDIAN MOTOR VEHICLES ACT, 1988",75(1),1
"(II),5(L),5(n),6 IPC 1860",376B,1
IPC 1860,376(B),1
"(v-a),3(1)(r) IPC 1860",109,1
"(v-a),3(1)(w) IPC 1860",448,1
"(v-a),3(1)(w) IPC 1860",417,1
"PASSPORTS ACT, 1967",1123,1
"(v-a),3(1)(w)(i)(ii) IPC 1860",354A(1),1
"(II),5(L),5(n),6 IPC 1860",506,1
"(r),3(1)(s),3(1)(w),3(2)(v-a) The SC & ST (Prevention of Atrocities) Amendment Act 2015",3(1),1
"(r),3(1)(g),3(1)(s) IPC 1860",354,1
"(V),3(1)(w)(i) Prohibition of Child Marriage Act 2006",9,1
"(v-a),3(1)(w)(i),3(2)(V) IPC 1860",354(A),1
"(x),3(1)(r),3(2)(va) IPC 1860",323,1
"(x),3(1)(r),3(2)(va) IPC 1860",506,1
"(D) INDIAN MOTOR VEHICLES ACT, 1988",188,1
"(f),376(2)(n),417,504,323,427 The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",3(2),1
"(II),5(L),6,5(l) IPC 1860",376(2),1
"(a),27(a) IPC 1860",269,1
"(a) NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",27(b),1
"(r),3(1)(s),3(1)(z),3(2)(va),3(2)(iii) IPC 1860",427,1
"(r),3(1)(s),3(1)(z),3(2)(va),3(2)(iii) IPC 1860",436,1
"(r),3(1)(s),3(1)(z),3(2)(va),3(2)(iii) IPC 1860",506,1
"(r),3(1)(s),3(1)(z),3(2)(va),3(2)(iii) IPC 1860",504,1
"(r),3(1)(s),3(1)(z),3(2)(va),3(2)(iii) IPC 1860",34,1
"(r),3(1)(f),3(1)(g),3(1)(s) IPC 1860",427,1
"(r),3(1)(f),3(1)(g),3(1)(s) IPC 1860",143,1
"(r),3(1)(f),3(1)(g),3(1)(s) IPC 1860",144,1
"(r),3(1)(f),3(1)(g),3(1)(s) IPC 1860",147,1
"(r),3(1)(f),3(1)(g),3(1)(s) IPC 1860",148,1
"(r),3(1)(f),3(1)(g),3(1)(s) IPC 1860",379,1
"(r),3(1)(f),3(1)(g),3(1)(s) IPC 1860",307,1
"(r),3(1)(f),3(1)(g),3(1)(s) IPC 1860",324,1
"(r),3(1)(f),3(1)(g),3(1)(s) IPC 1860",354,1
"(r),3(1)(f),3(1)(g),3(1)(s) IPC 1860",149,1
"(i)(n),376(2)(f),323 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",3(a),1
"(i)(n),376(2)(f),323 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"(i)(n),376(2)(f),323 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(L),1
"(i)(n),376(2)(f),323 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(n),1
"(i)(n),376(2)(f),323 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"(s),3(1) (r),3(2)(5a) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(2),1
"(II),3(a),5(l),6 IPC 1860",376,1
